node,x,y,hrsexceeded
1,1206770,254920,349
2,1203855.42,255563.071,267
3,1200902.81,256002.438,47
4,1197929.2,256264.723,0
5,1194945.31,256350.957,0
6,1191961.54,256260.84,0
7,1188988.3,255994.67,0
8,1186035.99,255553.346,0
9,1183114.92,254938.375,0
10,1180235.3,254151.869,0
11,1177407.22,253196.516,0
12,1174641.3,252074.044,196
13,1171949.35,250784.227,355
14,1169340.77,249333.062,453
15,1166822.71,247729.95,514
16,1164404.09,245980.436,594
17,1162093.53,244090.521,540
18,1159899.24,242066.79,622
19,1157829.02,239916.31,518
20,1155890.3,237646.579,444
21,1154090.01,235265.567,168
22,1152434.61,232781.645,130
23,1150930.06,230203.563,265
24,1149581.81,227540.42,273
25,1148394.73,224801.637,114
26,1147373.05,221996.959,90
27,1146520.46,219136.349,68
28,1145841.85,216229.631,116
29,1145343.75,213286.627,114
30,1145026.77,210318.559,150
31,1144887.49,207336.87,524
32,1144926.46,204352.19,394
33,1145143.59,201375.168,1075
34,1145538.03,198416.42,314
35,1146108.33,195486.487,935
36,1146852.43,192595.806,765
37,1147767.62,189754.656,667
38,1148850.54,186973.115,502
39,1150097.24,184261.036,662
40,1151503.25,181628.019,1141
41,1153063.47,179083.355,1386
42,1154772.28,176635.99,1380
43,1156623.49,174294.495,1002
44,1158611.22,172067.773,78
45,1160731.38,169966.918,0
46,1162976.6,168000.051,0
47,1165334.45,166169.731,0
48,1167796.58,164482.29,0
49,1170354.3,162943.598,0
50,1173007.14,161577.179,0
51,1175756.14,160423.633,0
52,1178611.25,159548.809,0
53,1203368.0224019,252921.244681639,136
54,1206398.21,252975.212,176
55,1200586.92521575,253334.448699341,68
56,1197930.94779328,253578.092740947,15
57,1195105.70177965,253669.129114546,0
58,1192280.03777144,253593.168351148,0
59,1189463.82705004,253350.479187344,0
60,1186666.91565309,252941.883245794,0
61,1183899.07321188,252368.770190872,0
62,1181170.00706176,251633.130039246,0
63,1178491.35586148,250738.437183686,0
64,1175875.84197196,249688.001181779,15
