monthly model output at tide gate locations: mean temperature (degC)
tide gate, Site Number, 1, 6, 20, 21, 22, 23, 28, 45, 46, 47, 48, 52, 55, 56, 57, 60, 66, 67, 68, 69, 80, 81, 82, 89, 99, 102, 121,  
tide gate, latitute,   43.361969,   43.336575,   43.317558,   43.318266,   43.256241,   43.256198,   43.348444,   43.401679,   43.421973,   43.421516,   43.462284,   43.465925,   43.478133,   43.352551,   43.340415,   43.341434,   43.291393,   43.269430,   43.378620,   43.376278,   43.373049,   43.369828,   43.361124,   43.374342,   43.490525,   43.360938,   43.347512,  
tide gate, longitude, -124.174833, -124.157010, -124.158532, -124.158435, -124.215623, -124.215722, -124.167556, -124.191261, -124.188830, -124.192377, -124.194475, -124.190151, -124.183038, -124.223531, -124.226440, -124.225989, -124.241180, -124.227473, -124.103196, -124.110020, -124.144044, -124.147283, -124.157889, -124.084593, -124.220476, -124.076886, -124.220268,  
year, month, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27,  
2014, 1,   6.20,   5.95,   6.78,   6.76,   4.96,   4.99,   5.79,   5.96,   6.23,   6.99,   7.88,   6.36,   5.62,   5.49,   5.30,   5.43,   4.69,   4.68,   5.12,   5.12,   5.51,   5.54,   5.77,   4.88,   5.33,   4.69,   5.32,  
2014, 2,   7.22,   7.17,   7.46,   7.44,   6.92,   6.94,   7.06,   7.39,   7.52,   7.85,   8.14,   7.38,   7.26,   6.92,   6.98,   7.00,   5.78,   6.49,   7.05,   7.04,   7.07,   7.11,   7.15,   6.98,   7.23,   6.96,   6.87,  
2014, 3,  10.08,  10.58,  10.43,  10.44,   9.45,   9.39,  10.21,  10.07,  10.02,  10.19,  10.36,  10.40,   9.43,  10.32,  10.13,   9.93,  10.48,  10.59,   9.54,   9.72,   9.74,   9.84,   9.91,   9.64,   9.04,   9.58,  10.31,  
2014, 4,  11.75,  12.03,  11.63,  11.65,  10.60,  10.48,  11.76,  11.53,  11.52,  11.77,  11.52,  11.91,  10.80,  12.25,  12.01,  11.42,  12.88,  12.82,  11.10,  11.30,  11.40,  11.49,  11.60,  11.16,   9.83,  10.96,  12.30,  
2014, 5,  15.55,  16.18,  15.61,  15.63,  14.16,  13.90,  15.74,  15.48,  15.46,  15.63,  14.85,  16.31,  14.49,  16.51,  16.17,  15.78,  17.27,  17.58,  14.57,  14.89,  15.06,  15.19,  15.34,  14.67,  12.01,  14.26,  16.75,  
2014, 6,  17.41,  17.98,  16.98,  17.03,  16.79,  16.43,  18.01,  16.41,  16.31,  16.46,  15.76,  17.21,  17.08,  17.97,  16.74,  16.87,  18.83,  19.09,  18.58,  18.58,  18.23,  18.20,  17.94,  18.69,  13.89,  18.47,  18.01,  
